participant_id,condition,age,income_bracket,gender,cancellation,satisfaction_composite,product_quality,product_relevance,product_variety,overall_satisfaction,recommend_likelihood,additional_revenue
1001,Control,23,"$25,000-$49,999",Female,1,5.2,6,5,4,5,5,0
1002,Control,31,"$50,000-$74,999",Female,0,7.1,8,7,6,7,7,0
1003,Change,27,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,29.99
1004,Control,42,"$100,000-$149,999",Female,0,6.5,7,6,6,7,7,0
1005,Change,35,"$50,000-$74,999",Female,0,8.2,9,8,8,8,9,45.5
1006,Control,29,"$25,000-$49,999",Female,1,4.9,5,5,4,5,5,0
1007,Change,33,"$75,000-$99,999",Female,0,7.9,8,8,8,8,8,18.75
1008,Control,46,"$100,000-$149,999",Female,0,6.8,7,7,6,7,7,25.99
1009,Change,24,"Under $25,000",Non-binary,0,8,8,9,7,8,8,0
1010,Control,39,"$50,000-$74,999",Female,1,5,6,5,4,5,5,0
1011,Change,52,"$75,000-$99,999",Female,0,7.5,8,8,7,7,8,32.5
1012,Control,28,"$50,000-$74,999",Female,0,6.2,6,6,6,7,6,0
1013,Change,34,"$100,000-$149,999",Female,0,8.1,9,8,8,8,8,55.25
1014,Control,41,"$75,000-$99,999",Female,1,5.4,6,5,5,6,5,0
1015,Change,26,"$25,000-$49,999",Female,0,7.6,8,8,7,7,8,0
1016,Control,38,"$50,000-$74,999",Male,0,6,6,6,6,6,6,15.99
1017,Change,31,"$75,000-$99,999",Female,0,8.3,9,9,8,8,8,42.75
1018,Control,44,"$150,000+",Female,0,6.7,7,7,6,7,7,0
1019,Change,29,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1020,Control,35,"$25,000-$49,999",Female,1,4.8,5,5,4,5,5,0
1021,Change,27,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,27.5
1022,Control,33,"$100,000-$149,999",Female,0,6.5,7,6,6,7,7,0
1023,Change,48,"$50,000-$74,999",Female,0,7.7,8,8,7,8,8,18.99
1024,Control,22,"Under $25,000",Female,1,5.1,5,5,5,5,5,0
1025,Change,36,"$75,000-$99,999",Female,0,8,8,9,7,8,8,35.25
1026,Control,30,"$50,000-$74,999",Female,0,6.3,7,6,6,6,6,0
1027,Change,41,"$100,000-$149,999",Female,0,7.8,8,8,8,8,7,49.99
1028,Control,25,"$25,000-$49,999",Female,1,4.7,5,5,4,5,4,0
1029,Change,32,"$75,000-$99,999",Female,0,8.1,9,8,8,8,8,0
1030,Control,47,"$50,000-$74,999",Female,0,6.4,7,6,6,7,6,12.5
1031,Change,28,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,37.99
1032,Control,38,"$75,000-$99,999",Female,1,5.3,6,5,5,5,5,0
1033,Change,26,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,0
1034,Control,43,"$25,000-$49,999",Male,0,6.1,6,6,6,6,6,0
1035,Change,34,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,22.75
1036,Control,29,"$50,000-$74,999",Female,0,6.6,7,7,6,7,6,0
1037,Change,39,"$100,000-$149,999",Female,0,7.7,8,8,7,8,8,41.5
1038,Control,24,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1039,Change,37,"$50,000-$74,999",Female,0,8,8,9,7,8,8,0
